# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 143, 143,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 108, 251,175,174
 1, 2, 2,  98, 160,174,175
 1, 3, 1,  23, 274,174,615
 1, 3, 2,  62, 222,615,174
 1, 4, 1,  32, 306,615,243
 1, 4, 2,  44, 266,243,615
 1, 5, 1,  31, 337,243,448
 1, 5, 2,  16, 282,448,243
 1, 6, 1,  55, 392,448,118
 1, 6, 2,  17, 299,118,448
 1, 7, 1,  16, 408,118,496
 1, 7, 2,  16, 315,496,118
 1, 8, 1,  29, 437,496,610
 1, 8, 2,   9, 324,610,496
 1, 9, 1,  24, 461,610,103
 1, 9, 2,  33, 357,103,610
 1,10, 1,   7, 468,103,614
 1,10, 2,  23, 380,614,103
 1,11, 1,  18, 486,614,613
 1,11, 2,  18, 398,613,614
 1,12, 1,  10, 496,613,104
 1,12, 2,  24, 422,104,613
 1,13, 1,  30, 526,104,758
 1,13, 2,   5, 427,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  30,  48,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  40,  88,196,26
 2, 3, 2,  44,  89,26,196
 2, 4, 1,  37, 125,26,193
 2, 4, 2,  41, 130,193,26
 2, 5, 1,  33, 158,193,37
 2, 5, 2,  35, 165,37,193
 2, 6, 1,  19, 177,37,152
 2, 6, 2,  26, 191,152,37
 2, 7, 1,  24, 201,152,760
 2, 7, 2,  93, 284,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  22,  22,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  29,  51,116,39
 3, 3, 1,  64, 109,116,133
 3, 3, 2,  63, 114,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 109, 109,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  43, 152,470,597
 4, 3, 1,  21, 167,470,125
 4, 3, 2,  23, 175,125,470
 4, 4, 1,  30, 197,125,667
 4, 4, 2,  32, 207,667,125
 4, 5, 1,  19, 216,667,422
 4, 5, 2,  19, 226,422,667
 4, 6, 1,  37, 253,422,151
 4, 6, 2,  47, 273,151,422
 4, 7, 1,  73, 326,151,20
 4, 7, 2,  74, 347,20,151
 4, 8, 1,   7, 333,20,741
 4, 8, 2,   8, 355,741,20
 4, 9, 1,  18, 351,741,773
 4, 9, 2,  18, 373,773,741
 4,10, 1,  33, 384,773,152
 4,10, 2,   5, 378,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  91,  91,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  46, 137,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 151,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  16, 167,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  23, 190,459,458
 5, 6, 1,  87, 276,459,405
